N,Team,Season,GP,W,L,T,OT,P,ROW,P_Shr,GF,GA,S_O_Win,GF_GP,GA_GP,PP_Shr,PK_Shr,Shots_GP,SA_GP,FOW_Shr
932,New York Americans,1928-29,2,0,1,1,0,0,0,.000,0,1,0,--,0.50,--,--,--,--,--
933,Los Angeles Kings,1999-00,4,0,4,0,0,0,0,.000,6,15,0,1.50,3.75,0.0,69.6,27.5,31.5,45.9
934,Chicago Blackhawks,1945-46,4,0,4,0,0,0,0,.000,7,26,0,1.75,6.50,--,--,--,--,--
935,Calgary Flames,2016-17,4,0,4,0,0,0,0,.000,9,14,0,2.25,3.50,37.5,76.9,34.5,30.5,46.6
936,Vancouver Canucks,2000-01,4,0,4,0,0,0,0,.000,9,16,0,2.25,4.00,25.0,73.7,22.0,29.0,48.5
937,Ottawa Senators (1917),1929-30,2,0,1,1,0,0,0,.000,3,6,0,1.50,3.00,--,--,--,--,--
938,Detroit Red Wings,1969-70,4,0,4,0,0,0,0,.000,8,16,0,2.00,4.00,--,--,36.0,34.3,--
939,New York Rangers,1966-67,4,0,4,0,0,0,0,.000,8,14,0,2.00,3.50,--,--,29.3,33.5,--
940,Chicago Blackhawks,1980-81,3,0,3,0,0,0,0,.000,9,15,0,3.00,5.00,9.1,72.7,43.3,41.0,--
941,Chicago Blackhawks,1977-78,4,0,4,0,0,0,0,.000,9,19,0,2.25,4.75,26.7,55.5,20.0,29.3,--
942,New York Rangers,1968-69,4,0,4,0,0,0,0,.000,7,16,0,1.75,4.00,--,--,28.5,26.0,--
943,New York Islanders,1985-86,3,0,3,0,0,0,0,.000,4,11,0,1.33,3.67,9.1,76.9,30.0,31.0,--
944,Toronto St. Patricks,1920-21,2,0,2,0,0,0,0,.000,0,7,0,--,3.50,--,--,--,--,--
945,Montréal Canadiens,1982-83,3,0,3,0,0,0,0,.000,2,8,0,0.67,2.67,7.7,71.4,25.3,24.3,--
946,Montréal Maroons,1932-33,2,0,2,0,0,0,0,.000,2,5,0,1.00,2.50,--,--,--,--,--
947,New York Rangers,1988-89,4,0,4,0,0,0,0,.000,11,19,0,2.75,4.75,20.7,77.8,39.5,34.0,0.0
948,Chicago Blackhawks,2016-17,4,0,4,0,0,0,0,.000,3,13,0,0.75,3.25,22.2,87.5,31.5,31.0,47.2
949,Boston Bruins,1986-87,4,0,4,0,0,0,0,.000,11,19,0,2.75,4.75,26.3,71.4,31.8,28.3,--
                     ,,,,,,,,,,,,,,,,,,,,
